division_code,directorate
AGS,GEO
OCE,GEO
EAR,GEO
PLR,GEO
RISE,GEO
ICER,GEO
GEO,GEO
OPP,GEO
OAC,CISE
CNS,CISE
IIS,CISE
CCF,CISE
CISE,CISE
CBET,ENG
CMMI,ENG
EEC,ENG
ECCS,ENG
ENG,ENG
GRFP,EDU
DGE,EDU
HRD,EDU
DUE,EDU
DRL,EDU
EHR,EDU
EDU,EDU
DEB,BIO
EF,BIO
DBI,BIO
IOS,BIO
BIO,BIO
AST,MPS
PHY,MPS
DMS,MPS
CHE,MPS
DMR,MPS
MPS,MPS
BCS,SBE
SES,SBE
SMA,SBE
SBE,SBE
OISE,Other
OIA,Other
OPA,Other
EAGER,Other
RAPID,Other
STC,Other
NSF,Other
